word,Frequency,class_label
22Cultural,"	2",0
22artiste,"	1",0
22cultural,"	3",0
239x239px,"	1",0
23FLA,"	1",0
23TOC,"	1",0
24I,"	1",0
24flinching,"	1",0
24h,"	1",0
250px,"	8",0
25th,"	1",0
265a,"	1",0
266470f2,"	1",0
26th,"	1",0
270x270px,"	2",0
280x280px,"	2",0
28excerpts,"	2",0
28th,"	1",0
299x299px,"	1",0
2BRHJ2PJxpb7Mqf2tpK9RQ,"	1",0
2FZUY6ZXLNLUDUOBZM6,"	1",0
2Ftmplobs,"	1",0
2KkCAAAAYAAJ,"	2",0
2a,"	1",0
2bfa,"	1",0
2nd,"	12",0
300px,"	4",0
300x300px,"	7",0
30em,"	3",0
315C37D887DB,"	1",0
320x320px,"	2",0
33rd,"	1",0
340x340px,"	1",0
3475r,"	1",0
360x360px,"	1",0
37w7,"	1",0
39b4,"	1",0
3A34409,"	1",0
3AAD,"	1",0
3AE,"	1",0
3B,"	1",0
3b58ef968da3,"	1",0
3fca64545171fc73f6032abc02c92ac2,"	1",0
3l8yyvfH5AQC,"	1",0
3pMSAAAAYAAJ,"	2",0
3rd,"	4",0
41T,"	1",0
44396v,"	1",0
450x450px,"	1",0
49989b5db72d,"	1",0
4CAAw,"	2",0
4MT09VJ,"	1",0
4and5,"	1",0
4dspace,"	1",0
4eae,"	1",0
4homes,"	1",0
4th,"	2",0
500E,"	1",0
50s,"	1",0
52nd,"	1",0
56a5,"	1",0
5JjMrzTHCU8C,"	1",0
5ialKAbIyV4C,"	2",0
5kwKfOywe,"	1",0
5sG8NuWEIuIC,"	1",0
60s,"	4",0
65th,"	1",0
694X,"	1",0
69th,"	1",0
6C48,"	1",0
6OaPbpdmxEgC,"	1",0
6YtCo,"	1",0
6ca0,"	1",0
6th,"	1",0
700px,"	1",0
70s,"	3",0
7L,"	1",0
7tTzwqKN9RIC,"	3",0
7th,"	2",0
7uMOAAAAQAAJ,"	1",0
800px,"	1",0
80s,"	10",0
89f3,"	1",0
8Q8MLTED,"	1",0
8Z,"	1",0
8esTAAAAIAAJ,"	2",0
8fuhesYeJmkC,"	1",0
8th,"	3",0
90er,"	2",0
90s,"	3",0
911fest,"	2",0
911festival,"	2",0
93v,"	1",0
950DE6DF103AF935A25751C1A96F948260,"	1",0
9E01E7D61F3CF930A35755C0A9679C8B63,"	1",0
9M8yht,"	1",0
9evenings,"	1",0
9th,"	6",0
A,"	288",0
A37,"	1",0
A6,"	2",0
A96,"	1",0
A9e,"	1",0
AA,"	1",0
AAAAcAAJ,"	2",0
AARP,"	2",0
ABC,"	11",0
ABC123,"	1",0
ABOVE,"	2",0
ACHP,"	1",0
ACM,"	1",0
AD,"	4",0
ADAR,"	4",0
ADD,"	1",0
ADRP,"	1",0
ADam,"	1",0
AES,"	2",0
AESTHETIC,"	1",0
AICAD,"	1",0
AIGA,"	1",0
AIM,"	1",0
AL0DAAAAYAAJ,"	1",0
ALTERNATIVE,"	3",0
AMO,"	1",0
AN,"	1",0
AOL,"	1",0
APA,"	2",0
ART,"	3",0
ARTE,"	1",0
ARTHLinks,"	1",0
ARTPOP,"	4",0
ARTS,"	1",0
AVA,"	1",0
AVANT,"	2",0
AVANTs,"	1",0
AVISTA,"	1",0
Aalborg,"	2",0
Aar,"	1",0
Aaron,"	3",0
Abbasid,"	1",0
Abbey,"	1",0
Abby,"	1",0
Abc123,"	1",0
Abdeldayem,"	1",0
Abdulhamid,"	1",0
Abdurrahman,"	2",0
Abdyl,"	1",0
Abell,"	1",0
Abitare,"	2",0
Aboriginal,"	8",0
Aborigine,"	1",0
Abosch,"	2",0
About,"	11",0
Above,"	2",0
Abraham,"	1",0
Abrahamit,"	2",0
Abramoff,"	1",0
Abramovic,"	1",0
Abrams,"	7",0
Absorbed,"	1",0
Abstract,"	11",0
Abu,"	5",0
Abuse,"	1",0
Ac,"	1",0
Academic,"	6",0
Academics,"	1",0
Academies,"	1",0
Academy,"	50",0
Acapulco,"	1",0
Accessed,"	3",0
According,"	8",0
Accounting,"	1",0
Ace,"	1",0
Acehotel,"	1",0
Acerol,"	1",0
Acheson,"	1",0
Achieved,"	1",0
Achievements,"	1",0
Ackerman,"	1",0
Acknowledgment,"	2",0
Acrobatics,"	1",0
Acropolis,"	3",0
Acrylic,"	3",0
Act,"	8",0
Acting,"	1",0
Action,"	13",0
Actions,"	1",0
Active,"	3",0
Activist,"	1",0
Activity,"	1",0
Actor,"	3",0
Actors,"	3",0
Actress,"	2",0
Actualisation,"	1",0
Actually,"	1",0
Adajian,"	1",0
Adam,"	5",0
Adams,"	8",0
Adbusters,"	1",0
Addison,"	1",0
Additionally,"	3",0
Adelaide,"	1",0
Adelina,"	1",0
Adem,"	2",0
Adhurim,"	1",0
Adler,"	1",0
Administration,"	1",0
Admiraal,"	1",0
Admissions,"	4",0
Adolph,"	1",0
Adorno,"	4",0
Adriaen,"	2",0
Adrian,"	3",0
Advanced,"	1",0
Advancement,"	1",0
Advances,"	1",0
Adventure,"	1",0
Advertising,"	2",0
Advisors,"	1",0
Advisory,"	1",0
Aerosol,"	1",0
Aesthetic,"	17",0
Aesthetics,"	33",0
Affairs,"	1",0
Affective,"	2",0
Afghanistan,"	1",0
AfpcjdU5fD8C,"	1",0
Afraid,"	1",0
Africa,"	4",0
AfricaNadia,"	1",0
AfricaNusra,"	1",0
African,"	5",0
After,"	20",0
Against,"	1",0
Agamben,"	1",0
Age,"	7",0
Agency,"	2",0
Ages,"	8",0
Agha,"	2",0
Agile,"	2",0
Agim,"	2",0
Agimi,"	1",0
Aging,"	1",0
Agneshki,"	1",0
Agnus,"	1",0
Agriculture,"	1",0
Agustina,"	1",0
Ah,"	1",0
Ahmet,"	3",0
Aida,"	1",0
Aided,"	1",0
Ailey,"	2",0
Aims,"	2",0
Ainu,"	1",0
Air,"	3",0
Aires,"	20",0
Airlie,"	1",0
Airwaves,"	1",0
Ajanta,"	1",0
Ajeti,"	1",0
Ajmane,"	1",0
Akademia,"	1",0
Akenside,"	1",0
Aki,"	1",0
Akil,"	2",0
Akira,"	1",0
Akkerman,"	1",0
Akordet,"	1",0
Al,"	1",0
Alabama,"	1",0
Aladdin,"	1",0
Alain,"	3",0
Alamein,"	1",0
Alan,"	10",0
Alansar,"	1",0
Alaska,"	2",0
Albania,"	12",0
Albanian,"	23",0
Albanians,"	21",0
Albas,"	1",0
Albee,"	1",0
Albers,"	1",0
Albert,"	7",0
Alberta,"	3",0
Alberti,"	1",0
Albertine,"	1",0
Alberto,"	1",0
Albrecht,"	3",0
Alcaraz,"	1",0
Alcubierre,"	4",0
Alejandro,"	1",0
Aleksandr,"	2",0
Alex,"	3",0
Alexander,"	9",0
Alexanderplatz,"	1",0
Alexandra,"	2",0
Alexandre,"	2",0
Alexei,"	1",0
Alexej,"	2",0
Alexis,"	1",0
Alf,"	1",0
Alfaro,"	2",0
Alfred,"	6",0
Algorithmic,"	1",0
Alibi,"	1",0
Alice,"	3",0
Alicia,"	3",0
Aljubarrota,"	1",0
All,"	14",0
Allah,"	1",0
Allan,"	1",0
Alle,"	1",0
Allegory,"	3",0
Allegro,"	1",0
Allen,"	1",0
Allentown,"	1",0
Allgemeines,"	2",0
Alliance,"	2",0
Allusion,"	1",0
Allusions,"	1",0
Allyn,"	1",0
Alma,"	2",0
Almaraz,"	1",0
Almost,"	2",0
Along,"	1",0
Alphabet,"	1",0
Alphabeten,"	1",0
Already,"	1",0
Also,"	12",0
Altamira,"	1",0
Altenburg,"	1",0
Alterazioni,"	6",0
Altering,"	1",0
Although,"	10",0
Alton,"	1",0
Aluminium,"	1",0
Alumni,"	1",0
Alvarez,"	1",0
Alvin,"	1",0
Am,"	1",0
Amadeus,"	3",0
Amazon,"	1",0
America,"	12",0
American,"	67",0
Americana,"	4",0
Americans,"	7",0
Americas,"	4",0
Amerio,"	1",0
Amethodical,"	1",0
Amicus,"	1",0
Amiet,"	1",0
Amman,"	1",0
Among,"	3",0
Amor,"	1",0
Amphoto,"	1",0
Amra,"	1",0
Amsterdam,"	8",0
Amusement,"	1",0
Amy,"	3",0
An,"	61",0
AnOther,"	1",0
Analysing,"	2",0
Analysis,"	4",0
Analytical,"	1",0
Analyzing,"	1",0
Anamorphosis,"	1",0
Anarchy,"	2",0
Anatole,"	1",0
Anchorage,"	3",0
Ancient,"	16",0
And,"	8",0
Andalou,"	2",0
Anderson,"	2",0
Andia,"	1",0
Andr,"	6",0
Andrea,"	4",0
Andreas,"	1",0
Andres,"	1",0
Andreu,"	1",0
Andrew,"	3",0
Andrews,"	4",0
Andri,"	2",0
Andric,"	1",0
Andy,"	5",0
Anecdotes,"	1",0
Angeles,"	26",0
Angelic,"	1",0
Anglican,"	1",0
Anglo,"	2",0
Aniconism,"	1",0
Anila,"	1",0
Animal,"	3",0
Animals,"	1",0
Animation,"	6",0
Anish,"	1",0
Anker,"	1",0
Ann,"	2",0
Anna,"	7",0
Annamalai,"	1",0
Annan,"	1",0
Annbale,"	1",0
Anne,"	1",0
Annette,"	1",0
Annibale,"	1",0
Annie,"	1",0
Anniversary,"	4",0
Annual,"	6",0
Another,"	13",0
Ansambli,"	1",0
Ansel,"	3",0
Anselm,"	1",0
Antar,"	1",0
Anthem,"	2",0
Anthology,"	3",0
Anthony,"	2",0
Anthonys,"	1",0
Anthropological,"	3",0
Anthropologist,"	1",0
Anthropology,"	3",0
Anthropotechnic,"	6",0
Anthropotechnics,"	2",0
Anti,"	6",0
Anticipated,"	1",0
Antike,"	1",0
Antiques,"	1",0
Antiquities,"	2",0
Antje,"	1",0
Antoine,"	2",0
Anton,"	2",0
Antoni,"	2",0
Antonia,"	1",0
Antonini,"	1",0
Antonio,"	2",0
Antony,"	2",0
Any,"	4",0
Apart,"	5",0
Apocalypse,"	1",0
Apollo,"	1",0
Apollonia,"	3",0
Apotheosis,"	1",0
Applause,"	2",0
Apple,"	1",0
Application,"	1",0
Applied,"	12",0
Approach,"	1",0
Approaches,"	1",0
Appropriation,"	5",0
Apr,"	1",0
April,"	70",0
Apropos,"	1",0
Aquinas,"	1",0
Arab,"	4",0
Arabic,"	7",0
Arad,"	2",0
Arbor,"	1",0
Arcady,"	1",0
Archaeography,"	1",0
Archaeological,"	8",0
Archaeologies,"	1",0
Archaeology,"	17",0
Archaeologyfieldwork,"	1",0
Archetype,"	1",0
Archie,"	1",0
Archilovers,"	1",0
Architect,"	1",0
Architects,"	1",0
Architectural,"	16",0
Architecture,"	29",0
Architektur,"	1",0
Archive,"	4",0
Archives,"	4",0
Ard,"	1",0
Ardison,"	1",0
Are,"	8",0
Areas,"	3",0
Argentina,"	5",0
ArgentinaLesley,"	1",0
Argentine,"	4",0
Argusvalentines,"	1",0
Ariosto,"	1",0
Aristocracy,"	1",0
Aristotle,"	10",0
Ariza,"	1",0
Arizona,"	1",0
Arkeologji,"	1",0
Arlene,"	2",0
Armaly,"	1",0
Armanious,"	1",0
Armory,"	2",0
Armstrong,"	2",0
Army,"	6",0
Arne,"	1",0
Arnold,"	10",0
Arnolds,"	2",0
Around,"	2",0
Arrow,"	1",0
Arrows,"	1",0
Ars,"	2",0
Art,"	489",0
ArtForum,"	1",0
ArtPop,"	1",0
ArtPrize,"	1",0
ArtRave,"	2",0
ArtScience,"	1",0
Arta,"	13",0
Artbook,"	1",0
Arte,"	2",0
Artes,"	6",0
Arteve,"	1",0
Artforum,"	3",0
Artha,"	1",0
Arthashastra,"	1",0
Arthur,"	6",0
Arti,"	1",0
Article,"	7",0
ArticleURL,"	1",0
Articles,"	7",0
Artifact,"	2",0
Artificial,"	1",0
Artigiana,"	1",0
Artilugios,"	1",0
Artis,"	1",0
Artisan,"	1",0
Artist,"	14",0
Artiste,"	1",0
Artisti,"	1",0
Artistic,"	17",0
Artistry,"	2",0
Artists,"	46",0
ArtistsThe,"	1",0
Artivism,"	1",0
Arts,"	275",0
Artwork,"	4",0
Artworks,"	3",0
Artworld,"	3",0
Arty,"	1",0
Aryaraja,"	1",0
As,"	31",0
Asceticism,"	1",0
Aschaffenburg,"	1",0
Ascott,"	1",0
Asger,"	1",0
Ashgate,"	1",0
Ashim,"	1",0
Ashleigh,"	1",0
Ashokavadana,"	1",0
Ashwin,"	1",0
Asia,"	5",0
Asian,"	3",0
Asimov,"	1",0
AskOxford,"	1",0
Asma,"	1",0
Assemblage,"	2",0
Assembly,"	2",0
Assisi,"	2",0
Association,"	21",0
Associazione,"	1",0
Assyrian,"	1",0
Astakhov,"	1",0
Asyndeton,"	1",0
At,"	20",0
Atelier,"	5",0
Ateliers,"	1",0
Athens,"	5",0
Atherton,"	2",0
Athletic,"	1",0
Atkinson,"	1",0
Atlante,"	2",0
Atlas,"	2",0
Attachment,"	1",0
Attempting,"	1",0
Attic,"	1",0
Atticus,"	2",0
Attitudes,"	3",0
Attribution,"	2",0
Auction,"	1",0
Audubon,"	1",0
Augros,"	1",0
August,"	67",0
Augusta,"	1",0
Augustan,"	2",0
Auguste,"	3",0
Augusti,"	1",0
Augusto,"	1",0
Augustus,"	2",0
Ault,"	2",0
Austin,"	1",0
Australia,"	11",0
AustraliaAla,"	1",0
AustraliaAli,"	1",0
AustraliaBarbara,"	1",0
AustraliaBonita,"	1",0
AustraliaBrendan,"	1",0
AustraliaBronia,"	1",0
AustraliaBryce,"	1",0
AustraliaCarole,"	1",0
AustraliaChiung,"	1",0
AustraliaCindy,"	1",0
AustraliaFiona,"	1",0
AustraliaFrancisca,"	1",0
AustraliaGiuseppe,"	1",0
AustraliaHany,"	1",0
AustraliaHeidi,"	1",0
AustraliaHernan,"	1",0
AustraliaJane,"	1",0
AustraliaJemima,"	1",0
AustraliaJenn,"	1",0
AustraliaJerry,"	1",0
AustraliaJonathan,"	1",0
AustraliaJoseph,"	1",0
AustraliaKaren,"	1",0
AustraliaKeiko,"	1",0
AustraliaLyndell,"	1",0
AustraliaMarcos,"	1",0
AustraliaMin,"	1",0
AustraliaOfiaeli,"	1",0
AustraliaRogues,"	1",0
AustraliaRuth,"	1",0
AustraliaStarlie,"	1",0
AustraliaStepanka,"	1",0
AustraliaStephen,"	1",0
AustraliaSuzan,"	1",0
AustraliaWei,"	1",0
Australian,"	4",0
Australians,"	1",0
Austria,"	5",0
Austro,"	1",0
Author,"	11",0
Authorial,"	2",0
Authors,"	1",0
Authorship,"	1",0
Autodesk,"	1",0
Automata,"	1",0
Automatic,"	1",0
Automobiles,"	2",0
Automotive,"	1",0
Autumn,"	1",0
Avant,"	4",0
Avante,"	1",0
Avenue,"	1",0
Avici,"	1",0
Avila,"	3",0
Aviv,"	5",0
Avoiding,"	1",0
Award,"	5",0
Awards,"	7",0
Awareness,"	2",0
Axiology,"	1",0
Ayer,"	1",0
Ayr,"	2",0
Azael,"	1",0
Azulejos,"	2",0
B,"	19",0
B00085HDEI,"	1",0
B1BC,"	1",0
B7MRM,"	1",0
BA,"	3",0
BABETH,"	2",0
BAF,"	1",0
BAGS,"	1",0
BALLISTIC,"	1",0
BAUMFRONT,"	1",0
BBC,"	3",0
BC,"	12",0
BC20110408,"	1",0
BE,"	3",0
BFA,"	6",0
BHAGAVADGITA,"	1",0
BINARY,"	1",0
BIRTH,"	6",0
BLP,"	1",0
BP,"	2",0
BPMN,"	1",0
BRAZIL,"	1",0
BRC,"	6",0
BY,"	1",0
Babeth,"	2",0
Baby,"	2",0
Baca,"	2",0
Bach,"	2",0
Bachelor,"	4",0
Back,"	4",0
Background,"	3",0
Backstage,"	1",0
Bad,"	5",0
Badeau,"	2",0
Baden,"	7",0
Badivuku,"	1",0
BadivukuSihana,"	1",0
Badu,"	1",0
Bag,"	1",0
Baghdad,"	2",0
Bags,"	4",0
Bahri,"	1",0
Bailey,"	1",0
Bajraktari,"	1",0
Bajrami,"	2",0
Baker,"	3",0
Bakhtin,"	3",0
Baki,"	1",0
Baldasare,"	1",0
Baldessari,"	1",0
Baldessaris,"	1",0
Balet,"	4",0
Baleti,"	1",0
Balkan,"	2",0
Balkans,"	4",0
Ballard,"	1",0
Ballata,"	1",0
Ballet,"	14",0
Ballistic,"	2",0
Ballroom,"	3",0
Balsa,"	1",0
Balthazar,"	1",0
Baltimore,"	2",0
Bance,"	1",0
Band,"	1",0
Bandelier,"	2",0
Bands,"	1",0
Bangladesh,"	1",0
BangladeshFile,"	1",0
Bank,"	2",0
Banks,"	1",0
Banksy,"	4",0
Bannon,"	1",0
Baptist,"	1",0
Bar,"	1",0
Barajas,"	1",0
Barangay,"	1",0
Barbara,"	10",0
Barbary,"	1",0
Barber,"	3",0
Barbieri,"	1",0
Barclay,"	1",0
Bard,"	1",0
Bardia,"	2",0
BardiaMural,"	1",0
Bardiyah,"	1",0
Bari,"	2",0
Barks,"	1",0
Barmaki,"	1",0
Barmakids,"	2",0
Barmakis,"	2",0
Barmecide,"	1",0
Barnaby,"	1",0
Barnard,"	1",0
Barnes,"	2",0
Baron,"	1",0
Baroque,"	3",0
Barreto,"	2",0
Barroll,"	1",0
Barron,"	1",0
Barry,"	2",0
Bart,"	1",0
Bartana,"	3",0
Barthes,"	1",0
Bartok,"	1",0
Bartolo,"	4",0
Based,"	4",0
Basel,"	8",0
Bashkirtseff,"	2",0
Basic,"	3",0
Basics,"	1",0
Basil,"	1",0
Basilica,"	2",0
Baskerville,"	1",0
Basque,"	1",0
Basra,"	2",0
Bath,"	1",0
Bator,"	3",0
Batsford,"	1",0
Battista,"	1",0
Battle,"	1",0
Baudrillard,"	5",0
Baudrillards,"	3",0
Bauer,"	1",0
Bauhaus,"	1",0
Baum,"	1",0
Bauman,"	1",0
Baumol,"	7",0
Baumols,"	1",0
Bay,"	2",0
Bayer,"	1",0
Bazaar,"	1",0
Be,"	1",0
Beach,"	3",0
Beacon,"	2",0
BeaconHillPark,"	1",0
Bear,"	1",0
Beardsley,"	4",0
Bearfield,"	2",0
Bearing,"	1",0
Beatles,"	1",0
Beatrice,"	1",0
Beatus,"	1",0
Beautiful,"	4",0
Beauty,"	3",0
Beaux,"	2",0
Because,"	5",0
Beck,"	2",0
Becker,"	8",0
Becket,"	1",0
Beckett,"	1",0
Become,"	2",0
Becomes,"	2",0
Bed,"	3",0
Bedreddin,"	1",0
Bee,"	1",0
Beedle,"	1",0
Beeldverhaal,"	1",0
Beer,"	6",0
BeerFest,"	2",0
Beethoven,"	5",0
Before,"	5",0
Befre,"	1",0
Beginners,"	1",0
Beginning,"	1",0
Begolli,"	1",0
Behavioral,"	1",0
Behind,"	2",0
Beijing,"	2",0
Being,"	3",0
Beit,"	1",0
Beitz,"	4",0
Bela,"	1",0
Belas,"	1",0
Belfast,"	2",0
Belgian,"	2",0
Belgisch,"	1",0
Belgium,"	5",0
Belgrade,"	11",0
Belgrano,"	1",0
Beliefs,"	1",0
Believing,"	1",0
Belkin,"	1",0
Bell,"	3",0
Bella,"	2",0
Bellini,"	3",0
Belloir,"	1",0
Ben,"	5",0
Benchmarking,"	1",0
Benedetto,"	2",0
Benedict,"	1",0
Benefactor,"	2",0
Benefice,"	1",0
Benezit,"	1",0
Bengal,"	2",0
Benhamou,"	1",0
Benicia,"	1",0
Benjamin,"	16",0
Bennekum,"	1",0
Bennett,"	1",0
Bentley,"	1",0
Benton,"	2",0
Benvenuto,"	3",0
Benzaken,"	1",0
Beqiraj,"	1",0
Beqiri,"	2",0
Berbes,"	1",0
Berg,"	2",0
BergJournals,"	1",0
Bergdorf,"	3",0
Berichtigungen,"	1",0
Berio,"	1",0
Berisha,"	8",0
Berkeley,"	4",0
Berkley,"	1",0
Berl,"	1",0
Berlin,"	25",0
Bern,"	2",0
Bernard,"	1",0
Bernau,"	1",0
Berne,"	3",0
Bernie,"	1",0
Bernotat,"	2",0
Beside,"	1",0
Besides,"	1",0
Best,"	7",0
Bethanien,"	3",0
Bethlehem,"	2",0
Betlemme,"	1",0
Better,"	2",0
Bettina,"	1",0
Betty,"	1",0
Between,"	7",0
Beuys,"	4",0
BeuysAchberg78,"	1",0
Beverly,"	1",0
Bevilacqua,"	1",0
Beyle,"	2",0
Beyond,"	4",0
Bezalel,"	1",0
Bhava,"	3",0
Bi,"	3",0
Bible,"	1",0
Biblical,"	1",0
BiblioBazaar,"	1",0
Bibliographical,"	1",0
Bibliography,"	10",0
Biblioletar,"	1",0
Biblioletra,"	1",0
Bibliotek,"	1",0
Biblioteka,"	5",0
Bibliotekat,"	1",0
Biel,"	1",0
Biennale,"	7",0
Biennial,"	2",0
Big,"	3",0
Biggers,"	1",0
Bijvoet,"	1",0
Bildhauer,"	1",0
Bildung,"	1",0
Bildungsb,"	1",0
Bill,"	3",0
Billing,"	1",0
Billionaire,"	1",0
Billman,"	1",0
Billy,"	9",0
Bilski,"	2",0
Binary,"	7",0
Bio,"	1",0
BioArt,"	1",0
Biografia,"	1",0
Biographical,"	2",0
Biography,"	9",0
Biol,"	1",0
Bioregionalism,"	1",0
Bird,"	3",0
Birdhouse,"	1",0
Birdseye,"	1",0
Birkh,"	5",0
Birmingham,"	1",0
Birth,"	2",0
Bishop,"	3",0
Biswas,"	1",0
Bixby,"	2",0
Bjeshk,"	1",0
Black,"	5",0
Blackwell,"	7",0
Blain,"	3",0
Blaise,"	1",0
Blake,"	3",0
Blakely,"	1",0
Blanks,"	1",0
Blashfield,"	1",0
Blaug,"	1",0
Blek,"	1",0
Blerta,"	2",0
Blessed,"	3",0
Block,"	1",0
Blocker,"	1",0
Blog,"	2",0
Blogs,"	1",0
Bloom,"	2",0
Bloomberg,"	1",0
Bloomers,"	2",0
Bloomfield,"	1",0
Bloomington,"	1",0
Bloomsbury,"	1",0
Blue,"	2",0
Blueprint,"	1",0
Bluff,"	1",0
Board,"	1",0
Bob,"	2",0
BobMargaret2004,"	1",0
Bocchini,"	1",0
Body,"	7",0
Boeing,"	1",0
Boemio,"	1",0
Bogani,"	6",0
Bogdani,"	2",0
Bogdanoff,"	1",0
Boggs,"	1",0
Bogorodicy,"	1",0
Bogside,"	1",0
Bohemia,"	1",0
Bohemian,"	2",0
Bohm,"	1",0
Bol,"	2",0
Bolivia,"	1",0
Bolognini,"	2",0
Bombay,"	4",0
Bonami,"	1",0
Bondgenotenlaan,"	1",0
Bondone,"	1",0
Bone,"	1",0
Bonin,"	1",0
Bonnie,"	1",0
Bonpo,"	1",0
Book,"	18",0
Books,"	19",0
Boom,"	1",0
Booster,"	1",0
Bordignon,"	1",0
Bordwell,"	1",0
Born,"	1",0
Borromeo,"	1",0
Bosanquet,"	1",0
Boss,"	2",0
Boston,"	13",0
Bostr,"	1",0
Bosworth,"	1",0
Bot,"	4",0
Both,"	8",0
Botime,"	1",0
Botticelli,"	3",0
Bottle,"	1",0
Bottles,"	2",0
Botton,"	2",0
Boundaries,"	1",0
Bourdieu,"	4",0
Bourgeois,"	1",0
Bourque,"	2",0
Bourriaud,"	1",0
Bov,"	1",0
Bowen,"	4",0
Bowl,"	1",0
Bowring,"	4",0
Box,"	1",0
Boy,"	7",0
Boyd,"	1",0
Bra,"	1",0
Bracho,"	1",0
Brad,"	6",0
Bragg,"	4",0
Braha,"	1",0
Brahimaj,"	1",0
Brainstorming,"	1",0
Bram,"	1",0
Brambilla,"	1",0
Branch,"	1",0
Brand,"	1",0
Brando,"	1",0
Branquinho,"	1",0
Braverman,"	1",0
Bravo,"	1",0
Brazil,"	11",0
BrazilFrancisco,"	1",0
Brazilia,"	2",0
Braziller,"	1",0
Breakdown,"	1",0
Breakout,"	1",0
Breer,"	2",0
Bremer,"	1",0
Bremner,"	1",0
Brent,"	1",0
Brescia,"	1",0
Breskin,"	2",0
Breton,"	2",0
Brian,"	1",0
Briant,"	1",0
Bricmont,"	1",0
Bricolage,"	1",0
Bridge,"	8",0
Bridget,"	1",0
Bridgstock,"	1",0
Brief,"	5",0
Brielle,"	1",0
Brill,"	4",0
Brillo,"	1",0
Bringing,"	1",0
Brinkkemper,"	1",0
Britain,"	10",0
Britannica,"	8",0
British,"	17",0
Brixton,"	1",0
Broadcasting,"	2",0
Broaden,"	1",0
Broecker,"	1",0
Broken,"	1",0
Bront,"	1",0
Bronze,"	2",0
Bronzino,"	1",0
Brooklyn,"	2",0
Brooks,"	5",0
Brosche,"	1",0
Brosio,"	1",0
Brought,"	1",0
Brown,"	10",0
Browne,"	3",0
Broz,"	1",0
Bruce,"	4",0
Bruguera,"	2",0
Brun,"	2",0
Bruno,"	2",0
Brush,"	1",0
Brussels,"	2",0
Bruxelles,"	1",0
Bruyne,"	1",0
Bryansk,"	2",0
Bryers,"	1",0
Bs,"	1",0
Bu,"	1",0
Buckminster,"	1",0
Budak,"	2",0
Buddha,"	1",0
Buddhist,"	2",0
Buddhists,"	3",0
Buenos,"	20",0
Bufardeci,"	1",0
Buffy,"	2",0
Bugatti,"	1",0
Building,"	7",0
Bukharin,"	1",0
Bukhtishu,"	1",0
Bulgaria,"	2",0
Bull,"	2",0
Bulletin,"	1",0
Bullivant,"	2",0
Buonarroti,"	1",0
Bureau,"	1",0
Buren,"	1",0
Burhan,"	1",0
Burial,"	1",0
Burlesque,"	1",0
Burlon,"	1",0
Burma,"	1",0
Burnham,"	6",0
Burns,"	1",0
Burr,"	1",0
Burton,"	1",0
Business,"	9",0
Businessweek,"	1",0
Busking,"	1",0
Busta,"	1",0
Busting,"	2",0
But,"	8",0
Butterworth,"	1",0
Buxhovi,"	1",0
Buy,"	6",0
Buyers,"	1",0
Buzzing,"	1",0
Buzzle,"	1",0
By,"	14",0
Byars,"	1",0
Byatt,"	1",0
Byzantine,"	5",0
C,"	38",0
C000050221,"	2",0
C1,"	2",0
C2,"	1",0
C20,"	1",0
